Project Name,Package Name,Type Name,LCOM1,LCOM2,LCOM3,LCOM4,LCOM5,YALCOM,ClassName
.,com.amazonaws.services.s3.model,Grantee,3.0,0.0,3.0,3.0,0.0,-1.0,com.amazonaws.services.s3.model.Grantee
.,com.amazonaws.services.s3.model,GetBucketVersioningConfigurationRequest,3.0,0.0,2.0,2.0,0.3333333333333333,0.5,com.amazonaws.services.s3.model.GetBucketVersioningConfigurationRequest
.,com.amazonaws.services.s3,AmazonS3EncryptionClientV2Params,3.0,0.0,3.0,3.0,0.0,1.0,com.amazonaws.services.s3.AmazonS3EncryptionClientV2Params
.,com.amazonaws.services.s3.model,ExpectedBucketOwnerRequest,3.0,0.0,3.0,3.0,0.0,-1.0,com.amazonaws.services.s3.model.ExpectedBucketOwnerRequest
.,com.amazonaws.services.s3.model,EventBridgeConfiguration,3.0,0.0,3.0,3.0,0.0,1.0,com.amazonaws.services.s3.model.EventBridgeConfiguration
.,com.amazonaws.services.s3.internal.crypto.v1,SecuredCEK,3.0,0.0,1.0,1.0,0.6666666666666666,0.0,com.amazonaws.services.s3.internal.crypto.v1.SecuredCEK
.,com.amazonaws.services.s3.model.analytics,AnalyticsPredicateVisitor,3.0,0.0,3.0,3.0,0.0,-1.0,com.amazonaws.services.s3.model.analytics.AnalyticsPredicateVisitor
.,com.amazonaws.services.s3.model,GetBucketNotificationConfigurationRequest,3.0,0.0,2.0,2.0,0.3333333333333333,0.5,com.amazonaws.services.s3.model.GetBucketNotificationConfigurationRequest
.,com.amazonaws.services.s3.model,GetBucketReplicationConfigurationRequest,3.0,0.0,2.0,2.0,0.3333333333333333,0.5,com.amazonaws.services.s3.model.GetBucketReplicationConfigurationRequest
.,com.amazonaws.services.s3.model.transform,S3KeyFilterStaxUnmarshaller,3.0,0.0,3.0,3.0,1.0,1.0,com.amazonaws.services.s3.model.transform.S3KeyFilterStaxUnmarshaller
.,com.amazonaws.services.s3.transfer,MultipleFileUpload,3.0,0.0,3.0,3.0,0.0,-1.0,com.amazonaws.services.s3.transfer.MultipleFileUpload
.,com.amazonaws.services.s3.internal.eventstreaming,MessageDecoder,3.0,0.0,2.0,1.0,0.3333333333333333,0.0,com.amazonaws.services.s3.internal.eventstreaming.MessageDecoder
.,com.amazonaws.services.s3.model,DeleteBucketWebsiteConfigurationRequest,3.0,0.0,2.0,2.0,0.3333333333333333,0.5,com.amazonaws.services.s3.model.DeleteBucketWebsiteConfigurationRequest
.,com.amazonaws.services.s3.model,InstructionFileId,3.0,0.0,3.0,3.0,1.5,1.0,com.amazonaws.services.s3.model.InstructionFileId
.,com.amazonaws.services.s3.transfer.exception,FileLockException,3.0,0.0,3.0,3.0,1.5,1.0,com.amazonaws.services.s3.transfer.exception.FileLockException
.,com.amazonaws.services.s3.model,ExpectedSourceBucketOwnerRequest,3.0,0.0,3.0,3.0,0.0,-1.0,com.amazonaws.services.s3.model.ExpectedSourceBucketOwnerRequest
.,com.amazonaws.services.s3.model,StatsEvent,3.0,0.0,2.0,2.0,0.3333333333333333,0.5,com.amazonaws.services.s3.model.StatsEvent
.,com.amazonaws.services.s3.model.replication,ReplicationPredicateVisitor,3.0,0.0,3.0,3.0,0.0,-1.0,com.amazonaws.services.s3.model.replication.ReplicationPredicateVisitor
.,com.amazonaws.services.s3,PutObjectStrategy,3.0,0.0,2.0,2.0,0.3333333333333333,0.5,com.amazonaws.services.s3.PutObjectStrategy
.,com.amazonaws.services.s3.internal.crypto.v1,S3CryptoModuleAEStrict,3.0,0.0,3.0,3.0,0.0,1.0,com.amazonaws.services.s3.internal.crypto.v1.S3CryptoModuleAEStrict
.,com.amazonaws.services.s3.internal.crypto.v2,SecuredCEK,3.0,0.0,1.0,1.0,0.6666666666666666,0.0,com.amazonaws.services.s3.internal.crypto.v2.SecuredCEK
.,com.amazonaws.services.s3.transfer,UploadContext,3.0,0.0,1.0,1.0,0.6666666666666666,0.0,com.amazonaws.services.s3.transfer.UploadContext
.,com.amazonaws.services.s3.model.transform,EventBridgeConfigurationStaxUnmarshaller,3.0,0.0,3.0,3.0,1.0,1.0,com.amazonaws.services.s3.model.transform.EventBridgeConfigurationStaxUnmarshaller
.,com.amazonaws.services.s3.internal.crypto.keywrap,KeyWrapAlgorithmResolver,3.0,0.0,3.0,1.0,0.0,0.0,com.amazonaws.services.s3.internal.crypto.keywrap.KeyWrapAlgorithmResolver
.,com.amazonaws.services.s3.internal.crypto.v2,S3CryptoModuleAEStrict,3.0,0.0,3.0,3.0,0.0,1.0,com.amazonaws.services.s3.internal.crypto.v2.S3CryptoModuleAEStrict
.,com.amazonaws.services.s3.internal.crypto.keywrap,RsaOaepKeyWrapperProvider,3.0,0.0,2.0,2.0,0.6666666666666666,0.5,com.amazonaws.services.s3.internal.crypto.keywrap.RsaOaepKeyWrapperProvider
.,com.amazonaws.services.s3.model.intelligenttiering,IntelligentTieringPredicateVisitor,3.0,0.0,3.0,3.0,0.0,-1.0,com.amazonaws.services.s3.model.intelligenttiering.IntelligentTieringPredicateVisitor
.,com.amazonaws.services.s3.internal,UploadObjectStrategy,3.0,0.0,3.0,3.0,0.0,-1.0,com.amazonaws.services.s3.internal.UploadObjectStrategy
.,com.amazonaws.services.s3.internal,S3ObjectResponseHandler,3.0,0.0,3.0,3.0,0.0,1.0,com.amazonaws.services.s3.internal.S3ObjectResponseHandler
.,com.amazonaws.services.s3.model,GetBucketLifecycleConfigurationRequest,3.0,0.0,2.0,2.0,0.3333333333333333,0.5,com.amazonaws.services.s3.model.GetBucketLifecycleConfigurationRequest
.,com.amazonaws.services.s3.model,StaticEncryptionMaterialsProvider,3.0,0.0,2.0,2.0,0.3333333333333333,0.5,com.amazonaws.services.s3.model.StaticEncryptionMaterialsProvider
.,com.amazonaws.services.s3.model,GetBucketTaggingConfigurationRequest,3.0,0.0,2.0,2.0,0.3333333333333333,0.5,com.amazonaws.services.s3.model.GetBucketTaggingConfigurationRequest
.,com.amazonaws.services.s3.model.transform,ProgressStaxUnmarshaller,3.0,0.0,3.0,3.0,1.0,1.0,com.amazonaws.services.s3.model.transform.ProgressStaxUnmarshaller
.,com.amazonaws.services.s3.model,GetBucketCrossOriginConfigurationRequest,3.0,0.0,2.0,2.0,0.3333333333333333,0.5,com.amazonaws.services.s3.model.GetBucketCrossOriginConfigurationRequest
.,com.amazonaws.services.s3.transfer,MultipleFileDownload,3.0,0.0,3.0,3.0,0.0,-1.0,com.amazonaws.services.s3.transfer.MultipleFileDownload
.,com.amazonaws.services.s3.model.transform,FilterRuleStaxUnmarshaller,3.0,0.0,3.0,3.0,1.0,1.0,com.amazonaws.services.s3.model.transform.FilterRuleStaxUnmarshaller
.,com.amazonaws.services.s3.model,GetBucketLoggingConfigurationRequest,3.0,0.0,2.0,2.0,0.3333333333333333,0.5,com.amazonaws.services.s3.model.GetBucketLoggingConfigurationRequest
.,com.amazonaws.services.s3.model,DeleteBucketCrossOriginConfigurationRequest,3.0,0.0,2.0,2.0,0.3333333333333333,0.5,com.amazonaws.services.s3.model.DeleteBucketCrossOriginConfigurationRequest
.,com.amazonaws.services.s3.model.transform,ServerSideEncryptionByDefaultStaxUnmarshaller,3.0,0.0,3.0,3.0,1.0,1.0,com.amazonaws.services.s3.model.transform.ServerSideEncryptionByDefaultStaxUnmarshaller
.,com.amazonaws.services.s3.model.transform,ObjectLockConfigurationXmlFactory,3.0,0.0,3.0,1.0,0.0,0.0,com.amazonaws.services.s3.model.transform.ObjectLockConfigurationXmlFactory
.,com.amazonaws.services.s3,AmazonS3EncryptionClientParams,3.0,0.0,3.0,3.0,0.0,1.0,com.amazonaws.services.s3.AmazonS3EncryptionClientParams
.,com.amazonaws.services.s3.transfer.internal,PreparedDownloadContext,3.0,0.0,1.0,1.0,0.6666666666666666,0.0,com.amazonaws.services.s3.transfer.internal.PreparedDownloadContext
.,com.amazonaws.services.s3.model.metrics,MetricsAccessPointArnPredicate,2.0,1.0,2.0,2.0,0.5,0.6666666666666666,com.amazonaws.services.s3.model.metrics.MetricsAccessPointArnPredicate
.,com.amazonaws.services.s3.model.lifecycle,LifecycleTagPredicate,2.0,1.0,2.0,2.0,0.5,0.6666666666666666,com.amazonaws.services.s3.model.lifecycle.LifecycleTagPredicate
.,com.amazonaws.services.s3.model.intelligenttiering,IntelligentTieringPrefixPredicate,2.0,1.0,2.0,2.0,0.5,0.6666666666666666,com.amazonaws.services.s3.model.intelligenttiering.IntelligentTieringPrefixPredicate
